id,company,educationLevel,employmentType,hiringEndAt,hiringStartAt,jobOpeningUrl,location,createdAt,maxExperienceYears,minExperienceYears,salary,title,viewCount,position,requiredSkills
14,네오위즈,무관,정규직,2025-03-21T17:06:09.529255,2025-02-20T17:06:09.529255,https://example.com/job/14,창원,2025-02-20T17:06:09.529267,2,2,42000000,네오위즈 Spring 개발자 모집,121,Spring 개발자,"['Kafka', 'Spring Boot', 'Node.js', 'Oracle DB', 'Python', 'Swagger', 'GraphQL']"
15,더존비즈온,고졸,정규직,2025-03-02T17:06:09.529309,2025-02-20T17:06:09.529309,https://example.com/job/15,대구,2025-02-20T17:06:09.529320,5,2,36000000,더존비즈온 Node.js 개발자 모집,3667,Node.js 개발자,"['Bitbucket', 'React', 'Angular', 'Swagger', 'Flask', 'Ruby on Rails', 'Spark', 'JWT', 'Docker']"
16,한화생명,무관,계약직,2025-03-14T17:06:09.529379,2025-02-20T17:06:09.529379,https://example.com/job/16,대구,2025-02-20T17:06:09.529391,3,2,65000000,한화생명 데이터베이스 관리자(DBA) 모집,2676,데이터베이스 관리자(DBA),"['Jenkins', 'GitLab', 'PostgreSQL', 'MongoDB', 'Node.js', 'SQLite', 'Go', 'Apache Camel', 'Apache NiFi']"
17,LG디스플레이,석사,인턴,2025-03-08T17:06:09.529443,2025-02-20T17:06:09.529443,https://example.com/job/17,청주,2025-02-20T17:06:09.529454,4,2,33000000,LG디스플레이 Spring 개발자 모집,448,Spring 개발자,"['Jenkins', 'GitLab', 'MongoDB', 'Vue.js', 'Python', 'REST API', 'OAuth']"
18,영림원소프트랩,전문학사,정규직,2025-03-10T17:06:09.529496,2025-02-20T17:06:09.529496,https://example.com/job/18,서울,2025-02-20T17:06:09.529507,3,2,38000000,영림원소프트랩 데이터베이스 관리자(DBA) 모집,1259,데이터베이스 관리자(DBA),"['Azure', 'Bitbucket', 'Node.js', 'Python', 'Flask', 'Ruby on Rails', 'Apache Camel', 'Kubernetes', 'Apache NiFi']"
19,코스모스,석사,정규직,2025-03-21T17:06:09.529610,2025-02-20T17:06:09.529610,https://example.com/job/19,인천,2025-02-20T17:06:09.529639,4,2,42000000,코스모스 클라우드 엔지니어 모집,1148,클라우드 엔지니어,"['Java', 'Firebase', 'Terraform', 'Elasticsearch', 'MySQL', 'Oracle DB', 'Apache Solr', 'REST API', 'JWT', 'Apache NiFi']"
20,대한항공,석사,정규직,2025-03-05T17:06:09.529686,2025-02-20T17:06:09.529686,https://example.com/job/20,대구,2025-02-20T17:06:09.529699,5,2,68000000,대한항공 풀스택 모집,3695,풀스택,"['Kafka', 'Cassandra', 'Swagger', 'GraphQL', 'REST API', 'Flask', 'Apache Camel', 'Kubernetes']"
21,롯데쇼핑,고졸,인턴,2025-03-08T17:06:09.529735,2025-02-20T17:06:09.529735,https://example.com/job/21,인천,2025-02-20T17:06:09.529746,2,0,42000000,롯데쇼핑 데이터베이스 관리자(DBA) 모집,8,데이터베이스 관리자(DBA),"['PostgreSQL', 'TestNG', 'Oracle DB', 'Django', 'Kubernetes', 'Apache Camel', 'Docker']"
22,인터파크,고졸,정규직,2025-03-09T17:06:09.529779,2025-02-20T17:06:09.529779,https://example.com/job/22,대전,2025-02-20T17:06:09.529790,5,2,63000000,인터파크 프론트엔드 개발자 모집,1740,프론트엔드 개발자,"['Firebase', 'Terraform', 'TestNG', 'Oracle DB', 'Apache Camel', 'Docker']"
23,구글,학사,정규직,2025-03-20T17:06:09.529825,2025-02-20T17:06:09.529825,https://example.com/job/23,울산,2025-02-20T17:06:09.529836,5,0,37000000,구글 데브옵스 엔지니어 모집,4930,데브옵스 엔지니어,"['Jenkins', 'Java', 'Terraform', 'MySQL', 'TestNG', 'Node.js', 'Flask']"
24,티몬,박사,정규직,2025-02-28T17:06:09.529864,2025-02-20T17:06:09.529864,https://example.com/job/24,서울,2025-02-20T17:06:09.529874,4,2,61000000,티몬 QA 모집,3733,QA,"['Git', 'Kafka', 'CI/CD', 'Mockito', 'Ruby on Rails']"
25,LG,전문학사,계약직,2025-03-17T17:06:09.529904,2025-02-20T17:06:09.529904,https://example.com/job/25,울산,2025-02-20T17:06:09.529913,5,0,41000000,LG 데브옵스 엔지니어 모집,747,데브옵스 엔지니어,"['Jenkins', 'AWS', 'Kafka', 'React', 'PostgreSQL', 'JUnit', 'MongoDB', 'Docker']"
26,아이디병원,고졸,정규직,2025-03-02T17:06:09.529941,2025-02-20T17:06:09.529941,https://example.com/job/26,인천,2025-02-20T17:06:09.529950,4,2,39000000,아이디병원 웹 애플리케이션 개발자 모집,4041,웹 애플리케이션 개발자,"['AWS', 'Git', 'Kafka', 'Firebase', 'Spring Boot', 'React', 'Cassandra', 'Node.js', 'Oracle DB', 'Flask']"
27,두산,고졸,계약직,2025-03-08T17:06:09.529983,2025-02-20T17:06:09.529983,https://example.com/job/27,창원,2025-02-20T17:06:09.529993,3,1,33000000,두산 QA 모집,2926,QA,"['Jenkins', 'Java', 'Git', 'Bitbucket', 'Django', 'SQLite', 'JWT', 'Kubernetes', 'Apache Camel']"
28,배달의민족,고졸,정규직,2025-03-22T17:06:09.530018,2025-02-20T17:06:09.530018,https://example.com/job/28,인천,2025-02-20T17:06:09.530026,4,2,61000000,배달의민족 백엔드 개발자 모집,474,백엔드 개발자,"['Java', 'MySQL', 'Python', 'Django', 'Apache Solr', 'OAuth', 'Hadoop', 'Go']"
29,오늘의집,고졸,정규직,2025-03-12T17:06:09.530053,2025-02-20T17:06:09.530053,https://example.com/job/29,청주,2025-02-20T17:06:09.530064,4,1,42000000,오늘의집 데이터 엔지니어 모집,213,데이터 엔지니어,"['Azure', 'React', 'Vue.js', 'Mockito', 'Python', 'Swagger', 'Hadoop', 'Kubernetes']"
30,더존비즈온,고졸,정규직,2025-03-03T17:06:09.530141,2025-02-20T17:06:09.530141,https://example.com/job/30,수원,2025-02-20T17:06:09.530154,4,1,59000000,더존비즈온 풀스택 모집,4779,풀스택,"['Jenkins', 'Azure', 'Kafka', 'GitLab', 'React', 'Angular', 'Oracle DB']"
31,인터파크,고졸,프리랜서,2025-03-15T17:06:09.530184,2025-02-20T17:06:09.530184,https://example.com/job/31,창원,2025-02-20T17:06:09.530194,4,0,35000000,인터파크 클라우드 엔지니어 모집,3230,클라우드 엔지니어,"['GitLab', 'TestNG', 'Mockito', 'Django', 'OAuth', 'Kubernetes', 'Apache NiFi']"
32,한미약품,학사,정규직,2025-03-14T17:06:09.530224,2025-02-20T17:06:09.530224,https://example.com/job/32,울산,2025-02-20T17:06:09.530234,3,1,43000000,한미약품 Node.js 개발자 모집,2917,Node.js 개발자,"['Jenkins', 'Terraform', 'Spring Boot', 'MySQL', 'Bitbucket', 'Vue.js', 'Node.js', 'Mockito', 'Apache Camel', 'Apache NiFi']"
33,신한은행,박사,아르바이트,2025-02-28T17:06:09.530260,2025-02-20T17:06:09.530260,https://example.com/job/33,광주,2025-02-20T17:06:09.530269,2,1,62000000,신한은행 자바스크립트 개발자 모집,4993,자바스크립트 개발자,"['Kafka', 'JUnit', 'OAuth', 'Go', 'Docker']"
34,비바리퍼블리카,전문학사,인턴,2025-02-28T17:06:09.530295,2025-02-20T17:06:09.530295,https://example.com/job/34,부산,2025-02-20T17:06:09.530305,3,0,67000000,비바리퍼블리카 Java 개발자 모집,2958,Java 개발자,"['AWS', 'Cassandra', 'Python', 'Flask', 'REST API', 'OAuth', 'JWT']"
35,에어비앤비,무관,인턴,2025-03-18T17:06:09.530329,2025-02-20T17:06:09.530329,https://example.com/job/35,부산,2025-02-20T17:06:09.530337,5,1,33000000,에어비앤비 Java 개발자 모집,75,Java 개발자,"['Spring Boot', 'Angular', 'Node.js', 'Swagger', 'SQLite', 'Flask', 'Apache Solr', 'Apache NiFi']"
36,하나은행,고졸,정규직,2025-03-17T17:06:09.530361,2025-02-20T17:06:09.530361,https://example.com/job/36,광주,2025-02-20T17:06:09.530370,4,2,40000000,하나은행 데이터 엔지니어 모집,3257,데이터 엔지니어,"['Azure', 'Vue.js', 'Cassandra', 'Django', 'Kubernetes']"
37,오늘의집,고졸,정규직,2025-03-18T17:06:09.530395,2025-02-20T17:06:09.530395,https://example.com/job/37,울산,2025-02-20T17:06:09.530405,4,1,69000000,오늘의집 데브옵스 엔지니어 모집,3507,데브옵스 엔지니어,"['GitHub', 'Terraform', 'Elasticsearch', 'Angular', 'Flask', 'Go']"
38,삼성전기,석사,정규직,2025-03-10T17:06:09.530428,2025-02-20T17:06:09.530428,https://example.com/job/38,서울,2025-02-20T17:06:09.530439,4,0,50000000,삼성전기 Node.js 개발자 모집,1950,Node.js 개발자,"['AWS', 'Firebase', 'Elasticsearch', 'TestNG', 'Node.js']"
39,삼성생명,학사,정규직,2025-03-15T17:06:09.530463,2025-02-20T17:06:09.530463,https://example.com/job/39,창원,2025-02-20T17:06:09.530473,1,0,48000000,삼성생명 QA 모집,4399,QA,"['JUnit', 'Redis', 'Oracle DB', 'Hadoop', 'Apache Camel']"
40,윙크,고졸,계약직,2025-03-06T17:06:09.530497,2025-02-20T17:06:09.530497,https://example.com/job/40,청주,2025-02-20T17:06:09.530506,3,2,62000000,윙크 시스템 엔지니어 모집,2475,시스템 엔지니어,"['Java', 'Firebase', 'Spring Boot', 'CI/CD', 'Angular', 'JWT', 'Apache Camel']"
41,두산,석사,아르바이트,2025-03-04T17:06:09.530531,2025-02-20T17:06:09.530531,https://example.com/job/41,대구,2025-02-20T17:06:09.530540,1,1,43000000,두산 파이썬 개발자 모집,1286,파이썬 개발자,"['AWS', 'Kafka', 'Mockito', 'GraphQL', 'REST API', 'OAuth', 'Apache NiFi']"
42,대한항공,학사,정규직,2025-03-12T17:06:09.530565,2025-02-20T17:06:09.530565,https://example.com/job/42,대구,2025-02-20T17:06:09.530573,5,2,47000000,대한항공 풀스택 모집,2217,풀스택,"['Azure', 'MySQL', 'Vue.js', 'TestNG', 'Node.js', 'Apache Solr', 'Spark', 'Apache NiFi']"
43,마켓플러스,학사,계약직,2025-02-27T17:06:09.530596,2025-02-20T17:06:09.530596,https://example.com/job/43,대전,2025-02-20T17:06:09.530641,4,2,56000000,마켓플러스 프론트엔드 개발자 모집,2632,프론트엔드 개발자,"['Jenkins', 'Azure', 'GitHub', 'Bitbucket', 'Spring Boot', 'TestNG', 'Ruby on Rails', 'Spark', 'Docker', 'Apache NiFi']"
44,쿠팡,박사,정규직,2025-03-04T17:06:09.530668,2025-02-20T17:06:09.530668,https://example.com/job/44,서울,2025-02-20T17:06:09.530679,4,2,36000000,쿠팡 웹 애플리케이션 개발자 모집,3160,웹 애플리케이션 개발자,"['Git', 'Bitbucket', 'Vue.js', 'Cassandra', 'Kubernetes']"
45,셀트리온,박사,정규직,2025-03-07T17:06:09.530701,2025-02-20T17:06:09.530701,https://example.com/job/45,부산,2025-02-20T17:06:09.530710,5,1,40000000,셀트리온 QA 모집,4384,QA,"['CI/CD', 'TestNG', 'Vue.js', 'Mockito', 'REST API', 'OAuth']"
46,롯데,무관,정규직,2025-03-22T17:06:09.530730,2025-02-20T17:06:09.530730,https://example.com/job/46,광주,2025-02-20T17:06:09.530741,4,2,66000000,롯데 Node.js 개발자 모집,992,Node.js 개발자,"['Java', 'Elasticsearch', 'Spring Boot', 'Angular', 'Vue.js', 'Swagger', 'Apache Solr', 'OAuth']"
47,헬로윤미,학사,정규직,2025-03-04T17:06:09.530764,2025-02-20T17:06:09.530764,https://example.com/job/47,서울,2025-02-20T17:06:09.530773,3,1,46000000,헬로윤미 Java 개발자 모집,3820,Java 개발자,"['AWS', 'Firebase', 'MySQL', 'Flask', 'Apache Solr', 'Hadoop', 'Spark', 'Docker']"
48,타이탄,무관,정규직,2025-03-08T17:06:09.530795,2025-02-20T17:06:09.530795,https://example.com/job/48,광주,2025-02-20T17:06:09.530805,3,2,40000000,타이탄 풀스택 모집,1836,풀스택,"['Git', 'JUnit', 'Node.js', 'Python', 'SQLite', 'Apache Solr']"
49,피자헛,전문학사,인턴,2025-03-19T17:06:09.530825,2025-02-20T17:06:09.530825,https://example.com/job/49,서울,2025-02-20T17:06:09.530835,5,0,62000000,피자헛 풀스택 모집,3504,풀스택,"['Terraform', 'TestNG', 'Ruby on Rails', 'Spark', 'Apache NiFi']"
50,아이디병원,학사,아르바이트,2025-03-16T17:06:09.530857,2025-02-20T17:06:09.530857,https://example.com/job/50,인천,2025-02-20T17:06:09.530866,1,1,58000000,아이디병원 자바스크립트 개발자 모집,3511,자바스크립트 개발자,"['GitHub', 'Bitbucket', 'CI/CD', 'Swagger', 'GraphQL', 'Hadoop', 'Go', 'Apache Camel']"
51,비바리퍼블리카,박사,프리랜서,2025-03-16T17:06:09.530893,2025-02-20T17:06:09.530893,https://example.com/job/51,대구,2025-02-20T17:06:09.530902,1,0,42000000,비바리퍼블리카 프론트엔드 개발자 모집,2462,프론트엔드 개발자,"['Java', 'GitHub', 'GitLab', 'React', 'MongoDB', 'SQLite', 'Docker']"
52,삼성SDS,박사,정규직,2025-03-11T17:06:09.530924,2025-02-20T17:06:09.530924,https://example.com/job/52,서울,2025-02-20T17:06:09.530933,4,2,37000000,삼성SDS Node.js 개발자 모집,1784,Node.js 개발자,"['PostgreSQL', 'MongoDB', 'JUnit', 'Vue.js', 'Python', 'REST API', 'Kubernetes']"
53,농심,박사,계약직,2025-03-05T17:06:09.530954,2025-02-20T17:06:09.530954,https://example.com/job/53,울산,2025-02-20T17:06:09.530967,5,2,66000000,농심 데이터베이스 관리자(DBA) 모집,958,데이터베이스 관리자(DBA),"['Elasticsearch', 'Terraform', 'Bitbucket', 'Vue.js', 'OAuth']"
54,롯데카드,박사,프리랜서,2025-03-05T17:06:09.530989,2025-02-20T17:06:09.530989,https://example.com/job/54,창원,2025-02-20T17:06:09.531001,4,1,34000000,롯데카드 데브옵스 엔지니어 모집,2568,데브옵스 엔지니어,"['AWS', 'Kafka', 'Terraform', 'Bitbucket', 'Apache Solr', 'JWT', 'Docker']"
55,오늘의집,박사,정규직,2025-03-15T17:06:09.531023,2025-02-20T17:06:09.531023,https://example.com/job/55,대전,2025-02-20T17:06:09.531033,2,1,35000000,오늘의집 프론트엔드 개발자 모집,3335,프론트엔드 개발자,"['Kafka', 'Spring Boot', 'CI/CD', 'Angular', 'SQLite', 'GraphQL', 'Kubernetes']"
56,필립스,고졸,정규직,2025-03-21T17:06:09.531061,2025-02-20T17:06:09.531061,https://example.com/job/56,대구,2025-02-20T17:06:09.531071,5,0,61000000,필립스 파이썬 개발자 모집,1040,파이썬 개발자,"['Jenkins', 'MySQL', 'MongoDB', 'Redis', 'Swagger', 'GraphQL', 'Apache Solr']"
57,현대카드,전문학사,프리랜서,2025-03-17T17:06:09.531087,2025-02-20T17:06:09.531087,https://example.com/job/57,청주,2025-02-20T17:06:09.531097,2,1,47000000,현대카드 QA 모집,2171,QA,"['Terraform', 'CI/CD', 'JUnit', 'Django', 'Flask', 'Kubernetes']"
58,모두의연애,박사,인턴,2025-03-08T17:06:09.531110,2025-02-20T17:06:09.531110,https://example.com/job/58,울산,2025-02-20T17:06:09.531119,3,1,61000000,모두의연애 프론트엔드 개발자 모집,1207,프론트엔드 개발자,"['Azure', 'Angular', 'TestNG', 'Vue.js', 'REST API', 'Hadoop', 'OAuth', 'Ruby on Rails', 'Go']"
59,인터파크,석사,정규직,2025-03-13T17:06:09.531147,2025-02-20T17:06:09.531147,https://example.com/job/59,광주,2025-02-20T17:06:09.531159,5,0,62000000,인터파크 QA 모집,228,QA,"['Angular', 'Redis', 'TestNG', 'Mockito', 'GraphQL', 'Kubernetes', 'Apache NiFi']"
60,교보문고,무관,정규직,2025-02-28T17:06:09.531172,2025-02-20T17:06:09.531172,https://example.com/job/60,인천,2025-02-20T17:06:09.531182,1,0,41000000,교보문고 백엔드 개발자 모집,127,백엔드 개발자,"['GitHub', 'Bitbucket', 'CI/CD', 'Angular', 'Vue.js', 'Cassandra', 'Django']"
61,뷰웍스,무관,정규직,2025-03-19T17:06:09.531195,2025-02-20T17:06:09.531195,https://example.com/job/61,서울,2025-02-20T17:06:09.531203,1,1,40000000,뷰웍스 시스템 엔지니어 모집,3620,시스템 엔지니어,"['Git', 'GitHub', 'Elasticsearch', 'Spring Boot', 'MySQL', 'Cassandra', 'Django', 'Apache Solr']"
62,시그마,고졸,아르바이트,2025-03-15T17:06:09.531217,2025-02-20T17:06:09.531217,https://example.com/job/62,청주,2025-02-20T17:06:09.531229,5,2,50000000,시그마 Java 개발자 모집,4509,Java 개발자,"['Firebase', 'GitLab', 'React', 'Ruby on Rails', 'Hadoop', 'JWT', 'Apache NiFi', 'Docker']"
63,삼성물산,학사,정규직,2025-03-15T17:06:09.531243,2025-02-20T17:06:09.531243,https://example.com/job/63,광주,2025-02-20T17:06:09.531251,1,2,34000000,삼성물산 클라우드 엔지니어 모집,2999,클라우드 엔지니어,"['AWS', 'Terraform', 'MySQL', 'Angular', 'Apache Solr', 'REST API', 'Kubernetes', 'Apache Camel']"
64,쿠팡,고졸,정규직,2025-03-16T17:06:09.531265,2025-02-20T17:06:09.531265,https://example.com/job/64,대구,2025-02-20T17:06:09.531288,2,0,45000000,쿠팡 Node.js 개발자 모집,2230,Node.js 개발자,"['Jenkins', 'Java', 'Firebase', 'GitLab', 'Terraform', 'CI/CD', 'REST API', 'Kubernetes', 'Apache NiFi']"
65,삼성,석사,정규직,2025-03-08T17:06:09.531306,2025-02-20T17:06:09.531306,https://example.com/job/65,수원,2025-02-20T17:06:09.531314,5,2,61000000,삼성 QA 모집,2323,QA,"['AWS', 'Git', 'Kafka', 'Bitbucket', 'Spring Boot', 'Swagger', 'Flask', 'Apache Camel', 'Docker']"
66,위메프,학사,프리랜서,2025-03-02T17:06:09.531326,2025-02-20T17:06:09.531326,https://example.com/job/66,수원,2025-02-20T17:06:09.531337,1,2,51000000,위메프 시스템 엔지니어 모집,1052,시스템 엔지니어,"['AWS', 'Kafka', 'Terraform', 'Elasticsearch', 'OAuth']"
67,하이닉스,석사,인턴,2025-03-22T17:06:09.531354,2025-02-20T17:06:09.531354,https://example.com/job/67,서울,2025-02-20T17:06:09.531362,5,1,38000000,하이닉스 파이썬 개발자 모집,1593,파이썬 개발자,"['Kafka', 'Spring Boot', 'MySQL', 'Vue.js', 'Cassandra', 'Node.js', 'Oracle DB', 'Python', 'Go', 'Docker']"
68,인터파크,박사,정규직,2025-03-12T17:06:09.531376,2025-02-20T17:06:09.531376,https://example.com/job/68,대구,2025-02-20T17:06:09.531384,1,0,44000000,인터파크 풀스택 모집,3589,풀스택,"['Jenkins', 'Java', 'PostgreSQL', 'MongoDB', 'Swagger', 'Oracle DB', 'Apache Solr']"
69,SK,박사,정규직,2025-03-21T17:06:09.531395,2025-02-20T17:06:09.531395,https://example.com/job/69,수원,2025-02-20T17:06:09.531403,3,0,65000000,SK Java 개발자 모집,4923,Java 개발자,"['Java', 'Git', 'GitLab', 'CI/CD', 'JUnit', 'Python', 'Kubernetes']"
70,11번가,무관,정규직,2025-03-21T17:06:09.531415,2025-02-20T17:06:09.531415,https://example.com/job/70,대전,2025-02-20T17:06:09.531422,3,1,43000000,11번가 프론트엔드 개발자 모집,3391,프론트엔드 개발자,"['Jenkins', 'Java', 'Kafka', 'GitLab', 'JUnit', 'Mockito', 'Swagger', 'GraphQL', 'REST API', 'Apache Solr']"
71,모두의연애,고졸,정규직,2025-03-09T17:06:09.531433,2025-02-20T17:06:09.531433,https://example.com/job/71,부산,2025-02-20T17:06:09.531440,1,2,53000000,모두의연애 Node.js 개발자 모집,4900,Node.js 개발자,"['Jenkins', 'AWS', 'GitLab', 'Elasticsearch', 'CI/CD', 'Vue.js', 'SQLite', 'JWT']"
72,메리츠화재,박사,인턴,2025-03-20T17:06:09.531452,2025-02-20T17:06:09.531452,https://example.com/job/72,대구,2025-02-20T17:06:09.531460,2,0,45000000,메리츠화재 클라우드 엔지니어 모집,2632,클라우드 엔지니어,"['Terraform', 'GitLab', 'MySQL', 'React', 'SQLite', 'Flask', 'Apache Solr', 'Go']"
73,신세계,전문학사,정규직,2025-03-02T17:06:09.531471,2025-02-20T17:06:09.531471,https://example.com/job/73,청주,2025-02-20T17:06:09.531480,4,1,54000000,신세계 데브옵스 엔지니어 모집,1999,데브옵스 엔지니어,"['Java', 'Terraform', 'Redis', 'Python', 'Hadoop', 'Spark']"
74,마켓플러스,박사,정규직,2025-03-06T17:06:09.531492,2025-02-20T17:06:09.531492,https://example.com/job/74,인천,2025-02-20T17:06:09.531499,2,2,55000000,마켓플러스 백엔드 개발자 모집,169,백엔드 개발자,"['Jenkins', 'MongoDB', 'Oracle DB', 'GraphQL', 'Apache Solr']"
75,넷마블,석사,정규직,2025-03-14T17:06:09.531512,2025-02-20T17:06:09.531512,https://example.com/job/75,부산,2025-02-20T17:06:09.531519,4,2,43000000,넷마블 파이썬 개발자 모집,4321,파이썬 개발자,"['Elasticsearch', 'GitLab', 'Spring Boot', 'MySQL', 'MongoDB', 'TestNG', 'Swagger', 'Django', 'Apache Solr']"
76,뷰웍스,석사,프리랜서,2025-03-18T17:06:09.531531,2025-02-20T17:06:09.531531,https://example.com/job/76,인천,2025-02-20T17:06:09.531541,4,2,40000000,뷰웍스 프론트엔드 개발자 모집,899,프론트엔드 개발자,"['Azure', 'GitLab', 'React', 'Angular', 'Vue.js', 'Oracle DB', 'Apache NiFi']"
77,삼성생명,고졸,아르바이트,2025-03-10T17:06:09.531554,2025-02-20T17:06:09.531554,https://example.com/job/77,서울,2025-02-20T17:06:09.531561,5,2,47000000,삼성생명 파이썬 개발자 모집,3249,파이썬 개발자,"['AWS', 'Azure', 'GitLab', 'Terraform', 'Django', 'SQLite', 'Apache Solr', 'OAuth', 'Kubernetes']"
78,제일기획,전문학사,정규직,2025-03-11T17:06:09.531573,2025-02-20T17:06:09.531573,https://example.com/job/78,부산,2025-02-20T17:06:09.531580,3,1,41000000,제일기획 풀스택 모집,2800,풀스택,"['Azure', 'Elasticsearch', 'Bitbucket', 'Spring Boot', 'React', 'JUnit', 'Vue.js', 'Node.js', 'SQLite', 'Spark']"
79,피자헛,박사,인턴,2025-03-12T17:06:09.531590,2025-02-20T17:06:09.531590,https://example.com/job/79,청주,2025-02-20T17:06:09.531597,1,2,33000000,피자헛 클라우드 엔지니어 모집,4386,클라우드 엔지니어,"['Kafka', 'Bitbucket', 'Vue.js', 'TestNG', 'Cassandra', 'Python', 'Apache Solr', 'Go', 'Apache Camel', 'Docker']"
80,레진코믹스,고졸,정규직,2025-03-04T17:06:09.531610,2025-02-20T17:06:09.531610,https://example.com/job/80,창원,2025-02-20T17:06:09.531617,2,1,61000000,레진코믹스 Java 개발자 모집,1882,Java 개발자,"['Firebase', 'MySQL', 'Bitbucket', 'PostgreSQL', 'Mockito']"
81,교보문고,학사,정규직,2025-03-10T17:06:09.531628,2025-02-20T17:06:09.531628,https://example.com/job/81,부산,2025-02-20T17:06:09.531636,5,1,41000000,교보문고 Node.js 개발자 모집,3232,Node.js 개발자,"['Git', 'Spring Boot', 'MongoDB', 'TestNG', 'Vue.js', 'Django', 'Hadoop', 'Go', 'JWT', 'Docker']"
